Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,Rainfall Category
1/06/2022,Sydney,8.5,15,0,4.4,9.3,WSW,76,WNW,W,33,41,50,39,1005.9,1007.7,1,1,11,14.7,No Rain
2/06/2022,Sydney,8.1,18.1,0,5.8,7.1,W,35,W,WNW,24,11,74,50,1020.7,1018.6,7,5,10.2,17.8,No Rain
3/06/2022,Sydney,7.5,16.5,0,2,1.3,N,35,W,N,15,17,88,61,1017.7,1012,7,8,9.9,14.6,No Rain
4/06/2022,Sydney,8.7,18.4,0.4,1.4,9.4,W,44,W,W,22,28,72,46,1012.2,1011.1,1,1,11.4,18.3,Drizzle
5/06/2022,Sydney,10.3,17.7,0,3.8,4.9,NNW,52,N,NNW,30,31,67,54,1012.6,1007.5,6,7,13,15.9,No Rain
6/06/2022,Sydney,10.4,17.4,0.8,4.6,9.2,W,94,NW,WNW,33,28,58,35,1004.7,1006.1,1,1,12.2,17,Drizzle
7/06/2022,Sydney,9.2,17.5,0,5.2,9.4,W,59,NNW,NW,19,28,55,40,1011.6,1008.4,3,2,12.7,16.9,No Rain
8/06/2022,Sydney,7.3,15.8,0,5,9.4,,37,WNW,W,17,26,58,38,1015.4,1013.9,1,1,10.2,15.5,No Rain
9/06/2022,Sydney,6,16.9,0,4.8,9.2,W,52,WNW,WSW,13,35,66,39,1014.7,1012,4,1,9.3,16,No Rain
10/06/2022,Sydney,7.8,17.7,0,3.8,9.3,WSW,50,WNW,W,11,30,69,39,1014.8,1012.5,1,1,11.3,16.8,No Rain
11/06/2022,Sydney,8.1,17.9,0,2.2,9.3,W,54,W,W,20,26,68,37,1016.3,1011.5,1,2,10.5,17.8,No Rain
12/06/2022,Sydney,9.1,17.7,0,4,9.3,W,56,WNW,WSW,20,28,55,42,1012.2,1012.1,0,1,12.4,16.7,No Rain
13/06/2022,Sydney,8.7,19.1,0,3.6,9.2,W,30,W,E,20,9,65,44,1021.9,1020.6,1,1,13.3,17.5,No Rain
14/06/2022,Sydney,8.7,18.8,0,2.8,9.2,W,26,W,N,19,13,72,47,1025,1020.7,3,2,11.3,18,No Rain
15/06/2022,Sydney,6.2,21.1,0,1.6,9.3,WNW,30,WNW,WNW,17,6,90,34,1020.3,1016.8,1,1,8.9,21.1,No Rain
16/06/2022,Sydney,8.9,21.6,0,3.2,7.8,SW,24,N,WNW,2,9,59,44,1017.8,1014.7,5,7,13.4,21,No Rain
17/06/2022,Sydney,9.6,19.1,0,4,8.6,W,33,WNW,SSW,24,17,77,52,1019.6,1018.7,2,3,12.1,18,No Rain
18/06/2022,Sydney,10.7,17.9,0,2.4,6.7,SSW,46,W,SSW,28,28,72,65,1025.2,1024.7,2,5,12.3,17.1,No Rain
19/06/2022,Sydney,9.4,18.8,0.4,2.8,7.2,SSW,37,WNW,SSW,22,19,86,72,1027.5,1025.3,3,5,11.2,17,Drizzle
20/06/2022,Sydney,11.2,17.9,11.6,0.8,2.1,W,24,WNW,NNW,13,15,100,80,1025,1022.3,6,7,12.3,15.6,Moderate Rain
21/06/2022,Sydney,8.7,21.8,0,1.4,6.6,WSW,26,W,ENE,7,2,100,55,1021.1,1017.9,3,5,10,21.4,No Rain
22/06/2022,Sydney,8.1,19.3,0,3,8.9,WSW,39,W,WNW,24,6,77,38,1024.5,1022.9,2,3,10.5,19.2,No Rain
23/06/2022,Sydney,8.1,19.3,0,1.4,9.1,W,41,W,WSW,13,17,86,48,1024.9,1020.9,4,5,9.8,18.2,No Rain
24/06/2022,Sydney,8.6,18.8,0,2.4,4.7,WNW,31,W,NW,15,7,74,55,1019.3,1017.1,7,7,12.6,17,No Rain
25/06/2022,Sydney,10.9,21.2,0,4,8.6,W,35,WSW,W,19,17,69,43,1021.8,1020.3,1,1,13.1,20.8,No Rain
26/06/2022,Sydney,8.7,20.8,0,2,5.5,W,24,WNW,W,17,7,88,46,1024.9,1022.3,7,7,10.3,20,No Rain
27/06/2022,Sydney,9.2,16,0,1.4,6.6,SSW,56,W,SSW,24,30,68,52,1026.1,1026.6,2,6,11.7,14.2,No Rain
28/06/2022,Sydney,6.9,15.7,2.6,3.6,5.6,S,39,W,SSW,20,15,80,72,1031.2,1029.1,4,6,9.1,14.3,Little Rain
29/06/2022,Sydney,8,17.9,1,1.2,6.2,N,31,WNW,N,13,20,95,56,1027,1022.6,7,8,10.2,17.1,Little Rain
30/06/2022,Sydney,10.2,16.9,0,3.8,2.4,W,31,WNW,SSW,11,13,81,54,1024.2,1023.1,7,7,12.2,16.2,No Rain
1/07/2022,Sydney,10.3,12,13.6,1.8,0,SW,28,WSW,W,7,19,95,95,1026,1023.6,8,8,11.3,11.3,Moderate Rain
2/07/2022,Sydney,10.8,15.8,16,0.2,0,ESE,57,WNW,SE,13,24,100,100,1021.7,1018.9,8,8,11.7,14.8,Moderate Rain
3/07/2022,Sydney,11.7,16.7,93.2,0,0,ESE,81,ESE,SE,46,35,93,92,1018.7,1016.6,8,8,15.3,14.9,Heavy Rain
4/07/2022,Sydney,14.3,18.7,25.8,1.6,1.3,SSE,72,SSE,SE,30,26,96,93,1014.7,1014.2,7,8,16.1,17.2,Heavy Rain
5/07/2022,Sydney,14.4,16.1,72.6,0,0,SSE,74,SSE,SSE,31,30,97,81,1021.1,1020.2,8,8,14.8,15.8,Heavy Rain
6/07/2022,Sydney,13.5,15.6,9.8,1.8,0,SSE,48,SE,S,24,19,97,97,1020,1016,8,8,14.9,15.5,Little Rain
7/07/2022,Sydney,13.4,18.2,50.4,1.4,1.8,SSW,46,W,S,19,26,92,78,1011.1,1009,7,6,14.3,16.1,Heavy Rain
8/07/2022,Sydney,7.7,15.9,0,3,9.4,W,56,W,W,20,37,74,48,1011.9,1009.9,1,1,10.2,15.5,No Rain
9/07/2022,Sydney,7.3,17.7,0,2.2,8.7,W,37,W,S,20,15,77,53,1017.1,1016.7,1,2,9.7,15.2,No Rain
10/07/2022,Sydney,8.7,16.3,19,3,1.8,SSE,56,W,SSW,17,11,99,89,1022.6,1023.3,7,6,10.7,13,Moderate Rain
11/07/2022,Sydney,9.8,14.9,11.4,5.8,4.2,WSW,30,W,WNW,17,13,99,90,1025.3,1021.6,7,7,10.7,12.9,Moderate Rain
12/07/2022,Sydney,7.9,17.9,8.8,0.4,6.1,WNW,26,W,WNW,22,9,100,51,1018,1014,7,7,8.6,16.8,Little Rain
13/07/2022,Sydney,7.8,14.8,0,1,5.8,S,46,W,SSW,26,19,71,58,1013.6,1012,5,7,10.7,14,No Rain
